datetime,open,high,low,close,volume
2024-01-02,28.0,28.45,27.3,27.45,6187312
2024-01-03,27.1,27.55,26.65,27.5,4329022
2024-01-04,27.6,29.0,27.5,28.8,11689106
2024-01-05,29.0,29.55,28.4,29.0,7509978
2024-01-08,29.0,29.4,28.25,28.65,5448840
2024-01-09,28.85,29.65,28.5,29.5,9567420
2024-01-10,30.3,30.65,29.7,29.8,15257943
2024-01-11,30.05,30.05,28.7,28.7,8543153
2024-01-12,28.7,29.1,27.35,27.5,9208601
2024-01-15,27.5,27.6,26.3,27.0,6648793
2024-01-16,26.75,27.4,26.15,26.25,6172050
2024-01-17,26.25,26.45,24.35,24.6,11160968
2024-01-18,24.7,25.45,24.25,25.2,7065891
2024-01-19,25.55,25.55,24.15,24.45,5157691
2024-01-22,24.65,24.8,23.3,23.55,9882022
2024-01-23,23.8,25.9,23.8,24.9,11881575
2024-01-24,25.6,26.55,24.85,26.4,12059642
2024-01-25,24.7,24.7,22.95,24.2,28602878
2024-01-26,24.2,24.2,22.2,22.2,18196825
2024-01-29,22.45,23.35,21.1,21.5,17171145
2024-01-30,21.6,22.1,20.95,21.65,8620667
2024-01-31,21.8,23.35,21.8,23.0,14028088
2024-02-01,24.55,24.65,23.65,24.55,17463920
2024-02-02,24.6,25.15,23.5,24.25,10209384
2024-02-05,23.9,25.35,23.9,24.8,9549169
2024-02-06,24.8,24.95,24.05,24.5,9218356
2024-02-07,24.6,24.95,23.25,23.35,11476431
2024-02-08,23.35,24.15,22.9,23.7,7443220
2024-02-09,23.7,24.35,23.3,23.35,1946990
2024-02-14,22.45,25.1,21.8,24.95,5111000
2024-02-15,24.95,24.95,23.8,24.6,2672330
2024-02-16,24.1,25.75,24.1,25.45,2423500
2024-02-19,24.7,24.7,23.7,24.1,7641610
2024-02-20,24.0,24.9,23.45,24.85,6914846
2024-02-21,24.4,25.8,24.15,25.0,9201404
2024-02-22,24.8,25.15,24.35,24.85,5998354
2024-02-23,24.7,24.95,24.0,24.5,6120500
2024-02-26,24.15,24.85,24.15,24.45,5841550
2024-02-27,24.25,24.25,22.9,23.5,15721437
2024-02-28,23.3,23.75,22.65,22.8,11151619
2024-02-29,22.6,24.4,22.6,24.2,12777670
2024-03-01,24.2,25.15,23.55,24.75,14357140
2024-03-04,24.5,25.05,24.05,24.75,7672191
2024-03-05,24.5,24.6,23.4,23.5,7251653
2024-03-06,23.5,23.85,23.2,23.45,4272083
2024-03-07,23.4,23.5,22.6,22.9,7203808
2024-03-08,23.1,23.8,23.05,23.15,4517000
2024-03-11,23.45,24.25,23.25,23.85,6435227
2024-03-12,24.0,24.8,23.8,24.8,7613344
2024-03-13,24.8,25.3,24.5,24.65,6196000
