date,open,high,low,close,volume
2025-11-28,18.8,19.96,18.8,19.6,13678911.0
2025-12-01,20.1,21.5,19.81,20.6,25056236.0
2025-12-02,20.8,20.88,19.68,19.9,10756770.0
2025-12-03,20.0,20.26,19.47,19.62,5379553.0
2025-12-04,19.82,19.97,18.9,19.52,8395253.0
2025-12-05,19.58,20.5,19.58,20.42,14395777.0
2025-12-08,20.58,20.58,20.14,20.44,4983500.0
2025-12-09,20.32,20.32,19.27,19.37,10803019.0
2025-12-10,19.37,19.93,19.02,19.19,7476328.0
2025-12-11,19.31,19.35,18.71,19.04,8481500.0
2025-12-12,19.04,19.3,18.13,18.8,39215700.0
2025-12-15,18.8,19.65,18.6,19.46,17919228.0
2025-12-16,19.56,19.56,18.61,18.84,6604223.0
2025-12-17,18.92,18.84,18.3,18.63,6501826.0
2025-12-18,18.5,18.6,17.87,18.05,8780437.0
2025-12-19,18.11,18.49,17.97,18.24,6215500.0
2025-12-22,18.32,18.48,18.13,18.31,3640754.0
2025-12-23,18.38,18.38,17.8,17.95,5428990.0
2025-12-24,17.95,18.09,17.68,18.07,2688000.0
2025-12-29,18.4,19.18,18.02,18.54,10071500.0
2025-12-30,18.6,18.6,17.9,18.14,6326500.0
2025-12-31,18.1,18.25,17.79,17.92,3266000.0
2026-01-02,17.92,18.26,17.59,18.09,1147152.0
2026-01-05,18.12,19.03,18.0,18.64,8616964.0
2026-01-06,18.35,19.57,18.35,19.51,11898700.0
2026-01-07,19.51,19.66,18.81,19.1,6117500.0
2026-01-08,18.9,19.15,18.63,19.03,3673500.0
2026-01-09,18.94,20.18,18.93,19.8,9440564.0
2026-01-12,19.8,21.92,19.64,21.76,20136466.0
2026-01-13,22.1,22.28,21.04,21.38,10623006.0
2026-01-14,21.48,21.9,21.06,21.34,8014500.0
2026-01-15,21.34,22.74,21.22,22.2,15580820.0
2026-01-16,22.34,23.74,22.34,22.8,19645698.0
2026-01-19,22.8,23.4,22.26,22.34,10093050.0
2026-01-20,22.34,23.2,22.0,22.8,7359516.0
2026-01-21,22.98,23.34,22.2,22.54,9146119.0
2026-01-22,22.58,22.98,22.22,22.36,4193292.0
2026-01-23,22.6,22.88,22.26,22.58,4408000.0
2026-01-26,22.56,23.28,22.42,23.08,7764500.0
2026-01-27,23.08,23.08,21.88,22.62,6687200.0
