ticker,open,close,high,low,volume,date,time_milliseconds
TSLA,432.64,424.07,433.2,406.31,87320894,2025-01-21 05:00:00,1737435600000
TSLA,416.81,415.11,428.0,414.59,60963342,2025-01-22 05:00:00,1737522000000
TSLA,416.06,412.38,420.73,408.95,50690592,2025-01-23 05:00:00,1737608400000
TSLA,414.45,406.58,418.88,405.78,56427149,2025-01-24 05:00:00,1737694800000
TSLA,394.8,397.15,406.69,389.0,58125510,2025-01-27 05:00:00,1737954000000
TSLA,396.91,398.09,400.59,386.5,48910676,2025-01-28 05:00:00,1738040400000
TSLA,395.21,389.1,398.59,384.48,68033648,2025-01-29 05:00:00,1738126800000
TSLA,410.78,400.28,412.5,384.41,98092879,2025-01-30 05:00:00,1738213200000
TSLA,401.53,404.6,419.99,401.34,83568219,2025-01-31 05:00:00,1738299600000
TSLA,386.68,383.68,389.17,374.36,93732122,2025-02-03 05:00:00,1738558800000
TSLA,382.63,392.21,394.0,381.4,57072235,2025-02-04 05:00:00,1738645200000
TSLA,387.51,378.17,388.39,375.53,57614721,2025-02-05 05:00:00,1738731600000
TSLA,373.03,374.32,375.4,363.18,77918230,2025-02-06 05:00:00,1738818000000
TSLA,370.19,361.62,380.55,360.34,70298258,2025-02-07 05:00:00,1738904400000
TSLA,356.21,350.73,362.7,350.51,77514903,2025-02-10 05:00:00,1739163600000
TSLA,345.8,328.5,349.37,325.1,118543400,2025-02-11 05:00:00,1739250000000
TSLA,329.94,336.51,346.4,329.12,105382729,2025-02-12 05:00:00,1739336400000
TSLA,345.0,355.94,358.69,342.85,89441519,2025-02-13 05:00:00,1739422800000
TSLA,360.62,355.84,362.0,347.5,68277279,2025-02-14 05:00:00,1739509200000
TSLA,355.01,354.11,359.1,350.02,51631702,2025-02-18 05:00:00,1739854800000
TSLA,354.0,360.56,367.34,353.67,67094374,2025-02-19 05:00:00,1739941200000
TSLA,361.51,354.4,362.3,348.0,45965354,2025-02-20 05:00:00,1740027600000
TSLA,353.44,337.8,354.98,334.42,74058648,2025-02-21 05:00:00,1740114000000
TSLA,338.14,330.53,342.4,324.7,76052321,2025-02-24 05:00:00,1740373200000
TSLA,327.02,302.8,328.89,297.25,134228777,2025-02-25 05:00:00,1740459600000
TSLA,303.71,290.8,309.0,288.04,100118276,2025-02-26 05:00:00,1740546000000
TSLA,291.16,281.95,297.23,280.88,101748197,2025-02-27 05:00:00,1740632400000
TSLA,279.5,292.98,293.88,273.6,115696968,2025-02-28 05:00:00,1740718800000
TSLA,300.34,284.65,303.94,277.3,115551414,2025-03-03 05:00:00,1740978000000
